Log time,Modify time,Create time,Size,Metadata changed,Binary changed
01/12/2020 02:00:07,01/12/2020 01:00:06,01/12/2020 01:00:06,4031521,True,True
02/12/2020 02:00:09,02/12/2020 01:00:06,02/12/2020 01:00:06,4030022,True,True
03/12/2020 02:00:05,03/12/2020 01:00:04,03/12/2020 01:00:04,4030022,True,False
04/12/2020 02:00:05,04/12/2020 01:00:03,04/12/2020 01:00:03,4030022,True,True
04/12/2020 02:00:07,04/12/2020 01:00:05,04/12/2020 01:00:05,4030696,True,True
05/12/2020 02:00:06,05/12/2020 01:00:04,05/12/2020 01:00:04,4100274,True,True
06/12/2020 02:00:08,06/12/2020 01:00:05,06/12/2020 01:00:05,4100274,True,False
07/12/2020 02:00:08,07/12/2020 01:00:05,07/12/2020 01:00:05,4100274,True,False
08/12/2020 02:00:07,08/12/2020 01:00:06,08/12/2020 01:00:06,4100274,True,True
08/12/2020 02:00:10,08/12/2020 01:00:06,08/12/2020 01:00:06,4098036,True,False
09/12/2020 02:00:07,09/12/2020 01:00:06,09/12/2020 01:00:06,4098036,True,False
10/12/2020 02:00:07,10/12/2020 01:00:04,10/12/2020 01:00:04,4097111,True,True
11/12/2020 02:00:07,11/12/2020 01:00:04,11/12/2020 01:00:04,4095117,True,True
12/12/2020 02:00:07,12/12/2020 01:00:04,12/12/2020 01:00:04,4095117,True,False
13/12/2020 02:00:07,13/12/2020 01:00:06,13/12/2020 01:00:06,4095117,True,False
14/12/2020 02:00:07,14/12/2020 01:00:05,14/12/2020 01:00:05,4095117,True,False
15/12/2020 02:00:07,15/12/2020 01:00:05,15/12/2020 01:00:05,4095117,True,False
16/12/2020 02:00:07,16/12/2020 01:00:06,16/12/2020 01:00:06,4100896,True,True
17/12/2020 02:00:05,17/12/2020 01:00:04,17/12/2020 01:00:04,4100896,True,False
18/12/2020 02:00:05,18/12/2020 01:00:03,18/12/2020 01:00:03,4100896,True,False
18/12/2020 02:00:07,18/12/2020 01:00:04,18/12/2020 01:00:04,4100896,True,False
19/12/2020 02:00:05,19/12/2020 01:00:04,19/12/2020 01:00:04,4100896,True,True
19/12/2020 02:00:08,19/12/2020 01:00:05,19/12/2020 01:00:05,4099735,True,True
20/12/2020 02:00:06,20/12/2020 01:00:04,20/12/2020 01:00:04,4099735,True,True
20/12/2020 02:00:08,20/12/2020 01:00:05,20/12/2020 01:00:05,4102504,True,False
21/12/2020 02:00:05,21/12/2020 01:00:04,21/12/2020 01:00:04,4102504,True,False
21/12/2020 02:00:08,21/12/2020 01:00:06,21/12/2020 01:00:06,4102504,True,False
22/12/2020 02:00:07,22/12/2020 01:00:06,22/12/2020 01:00:06,4102504,True,False
23/12/2020 02:00:07,23/12/2020 01:00:06,23/12/2020 01:00:06,4102504,True,False
